thisN,thisTrialN,thisRepN,stimuli,corrAns,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trainingBlock.thisRepN,trainingBlock.thisTrialN,trainingBlock.thisN,trainingBlock.thisIndex,thisRow.t,notes,routine_2.started,text_3.started,routine_2.stopped,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trainingBlock.key_resp.keys,trainingBlock.key_resp.corr,trainingBlock.key_resp.rt,trainingBlock.key_resp.duration,feedback_2.started,fb_2.started,fb_2.stopped,feedback_2.stopped,text_3.stopped,routine.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,choose left,left,left,1,0.6256399000003512,None,0,0,0,0,0,0,0,0,1.0422816999998759,,0.008836599999995087,0.022431600000345497,1.0097210000003543,1.0191657000004852,1.0422816999998759,1.0422816999998759,1.0422816999998759,1.0422816999998759,1.6771320999996533,left,1,0.6256399000003512,None,1.6848728000004485,1.6898331000002145,2.6900892000003296,2.6752156000002287,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
1,1,0,choose right,right,right,1,0.4338498000006439,None,0,0,0,0,0,1,1,1,2.6900892000003296,,,,,2.678111700000045,2.6900892000003296,2.6900892000003296,2.6900892000003296,2.6900892000003296,3.1255133000004207,right,1,0.4338498000006439,None,3.1287299000005078,3.1402281000000585,4.140012099999694,4.125240800000029,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
2,0,1,choose right,right,right,1,0.5358412000005046,None,0,0,0,0,1,0,2,1,4.140012099999694,,,,,4.125350399999661,4.140012099999694,4.140012099999694,4.140012099999694,4.140012099999694,4.692192700000305,right,1,0.5358412000005046,None,4.694706999999653,4.706620599999951,5.706632899999931,5.691991200000302,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
0,0,0,choose right,right,right,1,0.5132418000002872,None,1,0,1,0,0,0,0,1,6.706700400000045,,5.694045000000187,5.706632899999931,6.691899000000376,6.693940799999837,6.706700400000045,6.706700400000045,6.706700400000045,6.706700400000045,7.225730299999668,right,1,0.5132418000002872,None,7.228293600000143,7.240288699999837,8.24019380000027,8.225280399999974,6.706700400000045,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
1,1,0,choose left,left,left,1,0.5161791999998968,None,1,0,1,0,0,1,1,0,8.24019380000027,,,,,8.227135299999645,8.24019380000027,8.24019380000027,8.24019380000027,8.24019380000027,8.75874070000009,left,1,0.5161791999998968,None,8.761235599999964,8.773248200000126,,9.76473309999983,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
2,0,1,choose left,left,left,1,0.8462861999996676,None,1,0,1,0,1,0,2,0,9.774088400000437,,,,,9.764947100000427,9.774088400000437,9.774088400000437,9.774088400000437,9.774088400000437,10.625440699999672,left,1,0.8462861999996676,None,10.628094300000157,10.639945400000215,11.639938299999812,11.625386100000469,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
1,0,1,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
0,0,0,choose right,right,right,1,0.41970149999997375,None,2,0,2,0,0,0,0,1,12.640514499999881,,11.62763989999985,11.639938299999812,12.626451400000406,12.632206500000393,12.640514499999881,12.640514499999881,12.640514499999881,12.640514499999881,13.075426899999911,right,1,0.41970149999997375,None,13.078084300000228,13.089956599999823,14.09022129999994,14.075289000000339,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
1,1,0,choose left,left,left,1,0.5697063999996317,None,2,0,2,0,0,1,1,0,14.09022129999994,,,,,14.077245499999663,14.09022129999994,14.09022129999994,14.09022129999994,14.09022129999994,14.676708599999984,left,1,0.5697063999996317,None,14.680554000000484,14.690158000000338,15.690113100000417,15.675418900000295,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
2,0,1,choose left,left,left,1,0.6179276000002574,None,2,0,2,0,1,0,2,0,15.690113100000417,,,,,15.67551900000035,15.690113100000417,15.690113100000417,15.690113100000417,15.690113100000417,16.3088757000005,left,1,0.6179276000002574,None,16.312328799999705,16.3237294999999,17.323231500000475,17.30868400000054,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
2,0,2,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
0,0,0,choose right,right,right,1,0.5132086000003255,None,3,0,3,0,0,0,0,1,18.323537100000067,,17.310768800000005,17.323231500000475,18.308791499999643,18.312579399999777,18.323537100000067,18.323537100000067,18.323537100000067,18.323537100000067,18.842251000000033,right,1,0.5132086000003255,None,18.84476199999972,18.85676820000026,19.85697059999984,19.84204890000001,18.323537100000067,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
1,1,0,choose left,left,left,1,0.6595973000003141,None,3,0,3,0,0,1,1,0,19.85697059999984,,,,,19.84390119999989,19.85697059999984,19.85697059999984,19.85697059999984,19.85697059999984,20.525606000000153,left,1,0.6595973000003141,None,20.52808619999996,20.539975900000172,21.54033619999973,21.52560850000009,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
2,0,1,choose right,right,right,1,0.3917836000000534,None,3,0,3,0,1,0,2,1,21.54033619999973,,,,,21.527407000000494,21.54033619999973,21.54033619999973,21.54033619999973,21.54033619999973,21.942475699999704,right,1,0.3917836000000534,None,21.945774699999674,21.956612199999654,,22.943259900000157,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
3,0,3,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
0,0,0,choose right,right,right,1,0.5997592000003351,None,4,0,4,0,0,0,0,1,23.95683149999968,,22.946507900000142,22.95684919999985,23.94198099999994,23.943997800000034,23.95683149999968,23.95683149999968,23.95683149999968,23.95683149999968,24.562394600000516,right,1,0.5997592000003351,None,24.568449200000032,24.589161599999898,,25.575487000000066,23.95683149999968,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
1,1,0,choose left,left,left,1,0.526186900000539,None,4,0,4,0,0,1,1,0,25.59032600000046,,,,,25.577480599999944,25.59032600000046,25.59032600000046,25.59032600000046,25.59032600000046,26.125618900000518,left,1,0.526186900000539,None,26.12812170000052,26.140110800000002,,27.1265398000005,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
2,0,1,choose left,left,right,0,0.29637580000053276,None,4,0,4,0,1,0,2,0,27.140289400000256,,,,,27.12669730000016,27.140289400000256,27.140289400000256,27.140289400000256,27.140289400000256,27.442143500000384,right,0,0.29637580000053276,None,27.44653389999985,27.456688500000382,,28.443922000000384,,,,567769,001,2025-07-03_13h51.46.495,untitled,2024.2.4,60.08571828569625,2025-07-03 13h51.48.735841 -0400,
