thisN,thisTrialN,thisRepN,stimuli,corrAns,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trainingBlock.thisRepN,trainingBlock.thisTrialN,trainingBlock.thisN,trainingBlock.thisIndex,thisRow.t,notes,routine_2.started,text_3.started,routine_2.stopped,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trainingBlock.key_resp.keys,trainingBlock.key_resp.corr,trainingBlock.key_resp.rt,trainingBlock.key_resp.duration,feedback_2.started,fb_2.started,fb_2.stopped,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,choose right,right,right,1,0.5247401999999965,None,0,0,0,0,0,0,0,1,1.0187244999997347,,0.1038871000000654,0.11696159999974043,1.0038390999998228,1.0107997999998588,1.0187244999997347,1.0187244999997347,1.0187244999997347,1.0187244999997347,1.5557691999997587,right,1,0.5247401999999965,None,1.5638375999997152,1.5685232000000724,2.568747599999824,2.5551566999997704,034010,001,2025-07-03_13h44.10.887,untitled,2024.2.4,60.05190887002454,2025-07-03 13h44.13.098831 -0400,
1,1,0,choose left,left,left,1,0.5590760999998565,None,0,0,0,0,0,1,1,0,2.568747599999824,,,,,2.5577116999997997,2.568747599999824,2.568747599999824,2.568747599999824,2.568747599999824,3.1374645000000783,left,1,0.5590760999998565,None,3.1376651000000493,3.1521136999999726,4.152024600000004,4.137320999999702,034010,001,2025-07-03_13h44.10.887,untitled,2024.2.4,60.05190887002454,2025-07-03 13h44.13.098831 -0400,
2,0,1,choose left,left,left,1,0.43125869999994393,None,0,0,0,0,1,0,2,0,4.152024600000004,,,,,4.137421599999925,4.152024600000004,4.152024600000004,4.152024600000004,4.152024600000004,4.587520900000072,left,1,0.43125869999994393,None,4.587716600000022,4.601915899999767,5.602189400000043,5.587461900000108,034010,001,2025-07-03_13h44.10.887,untitled,2024.2.4,60.05190887002454,2025-07-03 13h44.13.098831 -0400,
3,1,1,choose right,right,right,1,0.5815902000003916,None,0,0,0,0,1,1,3,1,5.602189400000043,,,,,5.589336900000035,5.602189400000043,5.602189400000043,5.602189400000043,5.602189400000043,6.187946600000032,right,1,0.5815902000003916,None,6.1881430999997065,6.201886299999842,,7.188457100000051,034010,001,2025-07-03_13h44.10.887,untitled,2024.2.4,60.05190887002454,2025-07-03 13h44.13.098831 -0400,
4,0,2,choose left,left,left,1,0.4851072999999815,None,0,0,0,0,2,0,4,0,7.202436000000034,,,,,7.19129329999987,7.202436000000034,7.202436000000034,7.202436000000034,7.202436000000034,7.704566500000055,left,1,0.4851072999999815,None,7.704766599999857,7.718679799999791,,8.705019399999856,034010,001,2025-07-03_13h44.10.887,untitled,2024.2.4,60.05190887002454,2025-07-03 13h44.13.098831 -0400,
5,1,2,choose right,right,right,1,0.5606010999999853,None,0,0,0,0,2,1,5,1,8.719179499999882,,,,,8.707847199999833,8.719179499999882,8.719179499999882,8.719179499999882,8.719179499999882,9.287548100000095,right,1,0.5606010999999853,None,9.2877454999998,9.302003599999807,,10.288514699999723,034010,001,2025-07-03_13h44.10.887,untitled,2024.2.4,60.05190887002454,2025-07-03 13h44.13.098831 -0400,
0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,034010,001,2025-07-03_13h44.10.887,untitled,2024.2.4,60.05190887002454,2025-07-03 13h44.13.098831 -0400,
0,0,0,choose right,right,,,,,1,0,1,0,0,0,0,1,11.302410400000099,,10.291791600000124,10.30218429999968,11.288723699999991,11.291955199999848,11.302410400000099,11.302410400000099,11.302410400000099,11.302410400000099,,,,,,,,,,,,,,,,,
