stimuli,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback_2.started,fb_2.started,fb_2.stopped,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
choose right,right,0,0,0,left,0,0.44894730000032723,None,0,0,0,1,0.05390129999977944,,0.049413199999435165,0.05390129999977944,0.05390129999977944,0.05390129999977944,0.05390129999977944,0.517989299999499,left,0,0.44894730000032723,None,0.52313679999952,0.529905499999586,1.5308579999991707,1.517349199999444,742197,001,2025-07-02_15h56.44.822,untitled,2024.2.4,59.75121982101238,2025-07-02 15h56.47.088528 -0400,
choose left,left,1,1,0,right,0,0.22824690000015835,None,0,1,1,0,1.5308579999991707,,1.5218890999994983,1.5308579999991707,1.5308579999991707,1.5308579999991707,1.5308579999991707,1.7660088999991785,right,0,0.22824690000015835,None,1.7662053999993077,1.7808328999999503,,2.76767959999961,742197,001,2025-07-02_15h56.44.822,untitled,2024.2.4,59.75121982101238,2025-07-02 15h56.47.088528 -0400,
choose right,right,2,0,1,,,,,1,0,2,1,2.781102199999623,,2.770759199999702,2.781102199999623,2.781102199999623,2.781102199999623,2.781102199999623,3.182847899999615,left,0,0.39358029999948485,None,3.1830473999998503,3.197388499999761,,,,,,,,,,
