thisN,thisTrialN,thisRepN,stimuli,corrAns,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trainingBlock.thisRepN,trainingBlock.thisTrialN,trainingBlock.thisN,trainingBlock.thisIndex,thisRow.t,notes,routine_2.started,text_3.started,routine_2.stopped,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trainingBlock.key_resp.keys,trainingBlock.key_resp.corr,trainingBlock.key_resp.rt,trainingBlock.key_resp.duration,feedback_2.started,fb_2.started,fb_2.stopped,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,choose left,left,left,1,3.473453000000063,None,0,0,0,0,0,0,0,0,1.030316800000037,,0.01674249999996391,0.032587100000000646,1.0154480999999578,1.0225254000001769,1.030316800000037,1.030316800000037,1.030316800000037,1.030316800000037,4.516043500000251,left,1,3.473453000000063,None,4.525209599999926,4.530200700000023,5.530328499999996,5.515422100000251,836552,001,2025-07-03_13h47.04.947,untitled,2024.2.4,59.94801308314194,2025-07-03 13h47.07.651278 -0400,
1,1,0,choose right,right,right,1,0.6141179000001102,None,0,0,0,0,0,1,1,1,5.530328499999996,,,,,5.5184573000001365,5.530328499999996,5.530328499999996,5.530328499999996,5.530328499999996,6.149363400000311,right,1,0.6141179000001102,None,6.149558500000239,6.163477999999941,7.163828799999919,7.1488664000003155,836552,001,2025-07-03_13h47.04.947,untitled,2024.2.4,59.94801308314194,2025-07-03 13h47.07.651278 -0400,
2,0,1,choose left,left,left,1,1.2684464999997545,None,0,0,0,0,1,0,2,0,7.163828799999919,,,,,7.15074420000019,7.163828799999919,7.163828799999919,7.163828799999919,7.163828799999919,8.436296600000333,left,1,1.2684464999997545,None,8.436492400000134,8.447661500000322,9.447494400000323,9.43268880000005,836552,001,2025-07-03_13h47.04.947,untitled,2024.2.4,59.94801308314194,2025-07-03 13h47.07.651278 -0400,
3,1,1,choose right,right,,,,,,,,,1,1,3,1,9.447494400000323,,,,,9.434548200000336,9.447494400000323,9.447494400000323,9.447494400000323,9.447494400000323,,,,,,,,,,,,,,,,,
