5.1079 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='C:/Users/mattp/Pictures/image (10).png', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1, ori=0.0, pos=array([0.5, 0. ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
5.1097 	EXP 	Created fb_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fb_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.1129 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='success', units='height', win=Window(...), wrapWidth=1)
0.0124 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0270 	EXP 	text_3: autoDraw = True
1.0164 	DEBUG 	Read csv file with pandas: stimuli.csv
1.0171 	DEBUG 	Clearing unnamed columns from stimuli.csv
1.0173 	EXP 	Imported stimuli.csv as conditions, 2 conditions, 2 params
1.0175 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'stimuli': 'choose right', 'corrAns': 'right', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.0438 	INFO 	Keyboard events cleared
1.0438 	EXP 	text_3: autoDraw = False
1.0438 	EXP 	text: height = 0.05
1.0438 	EXP 	text: height = 0.05
1.0438 	EXP 	text: height = 0.05
1.0438 	EXP 	text: text = 'choose right'
1.0438 	EXP 	text: autoDraw = True
1.0438 	EXP 	image: autoDraw = True
1.0438 	EXP 	image_2: autoDraw = True
2.2808 	DATA 	Keypress: left
2.2932 	EXP 	text: autoDraw = False
2.2932 	EXP 	image: autoDraw = False
2.2932 	EXP 	image_2: autoDraw = False
2.2932 	EXP 	fb_2: foreColor = <psychopy.colors.Color: red, alpha=1.0>
2.2932 	EXP 	fb_2: height = 0.1
2.2932 	EXP 	fb_2: height = 0.1
2.2932 	EXP 	fb_2: height = 0.1
2.2932 	EXP 	fb_2: text = 'Incorrect! 0.00, 0 cleared'
2.2932 	EXP 	fb_2: autoDraw = True
3.2809 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'stimuli': 'choose left', 'corrAns': 'left', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
3.2950 	INFO 	Keyboard events cleared
3.2950 	EXP 	fb_2: autoDraw = False
3.2950 	EXP 	text: height = 0.05
3.2950 	EXP 	text: height = 0.05
3.2950 	EXP 	text: height = 0.05
3.2950 	EXP 	text: text = 'choose left'
3.2950 	EXP 	text: autoDraw = True
3.2950 	EXP 	image: autoDraw = True
3.2950 	EXP 	image_2: autoDraw = True
3.8843 	DATA 	Keypress: left
3.8944 	EXP 	text: autoDraw = False
3.8944 	EXP 	image: autoDraw = False
3.8944 	EXP 	image_2: autoDraw = False
3.8944 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
3.8944 	EXP 	fb_2: height = 0.1
3.8944 	EXP 	fb_2: height = 0.1
3.8944 	EXP 	fb_2: height = 0.1
3.8944 	EXP 	fb_2: text = 'Correct! 0.50, 0 cleared'
3.8944 	EXP 	fb_2: autoDraw = True
4.8799 	EXP 	New trial (rep=1, index=0): <Trial 2 (0 in rep 1) data={'stimuli': 'choose right', 'corrAns': 'right', 'thisN': 2, 'thisTrialN': 0, 'thisRepN': 1}>
4.8947 	INFO 	Keyboard events cleared
4.8946 	EXP 	fb_2: autoDraw = False
4.8946 	EXP 	fb_2: autoDraw = False
4.8946 	EXP 	text: height = 0.05
4.8946 	EXP 	text: height = 0.05
4.8946 	EXP 	text: height = 0.05
4.8946 	EXP 	text: text = 'choose right'
4.8946 	EXP 	text: autoDraw = True
4.8946 	EXP 	image: autoDraw = True
4.8946 	EXP 	image_2: autoDraw = True
5.6179 	DATA 	Keypress: right
5.6277 	EXP 	text: autoDraw = False
5.6277 	EXP 	image: autoDraw = False
5.6277 	EXP 	image_2: autoDraw = False
5.6277 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
5.6277 	EXP 	fb_2: height = 0.1
5.6277 	EXP 	fb_2: height = 0.1
5.6277 	EXP 	fb_2: height = 0.1
5.6277 	EXP 	fb_2: text = 'Correct! 0.67, 0 cleared'
5.6277 	EXP 	fb_2: autoDraw = True
6.6155 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
6.6277 	EXP 	fb_2: autoDraw = False
6.6277 	EXP 	fb_2: autoDraw = False
6.6277 	EXP 	text_3: autoDraw = True
7.6166 	DEBUG 	Read csv file with pandas: stimuli.csv
7.6175 	DEBUG 	Clearing unnamed columns from stimuli.csv
7.6179 	EXP 	Imported stimuli.csv as conditions, 2 conditions, 2 params
7.6181 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'stimuli': 'choose right', 'corrAns': 'right', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
7.6282 	INFO 	Keyboard events cleared
7.6281 	EXP 	text_3: autoDraw = False
7.6281 	EXP 	text: text = 'choose right'
7.6281 	EXP 	text: autoDraw = True
7.6281 	EXP 	image: autoDraw = True
7.6281 	EXP 	image_2: autoDraw = True
8.1997 	DATA 	Keypress: right
8.2116 	EXP 	text: autoDraw = False
8.2116 	EXP 	image: autoDraw = False
8.2116 	EXP 	image_2: autoDraw = False
8.2116 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
8.2116 	EXP 	fb_2: height = 0.1
8.2116 	EXP 	fb_2: height = 0.1
8.2116 	EXP 	fb_2: height = 0.1
8.2116 	EXP 	fb_2: text = 'Correct! 0.75, 0 cleared'
8.2116 	EXP 	fb_2: autoDraw = True
9.1977 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'stimuli': 'choose left', 'corrAns': 'left', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
9.2117 	INFO 	Keyboard events cleared
