thisN,thisTrialN,thisRepN,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.corr,resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,image_2.started,resp.started,trial.stopped,trials.resp.x,trials.resp.y,trials.resp.leftButton,trials.resp.midButton,trials.resp.rightButton,trials.resp.time,trials.resp.corr,trials.resp.clicked_name,feedback.started,fb.started,feedback_text.started,feedback.stopped,fb.stopped,feedback_text.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.03333333333333333],[0.025],[1],[0],[0],[0.5021238999997877],[1],['image_2'],0,0,0,0,0.021414199999981065,,0.0060416999999688414,0.021414199999981065,0.021414199999981065,0.006061500000214437,0.5083094999999958,[-0.03333333333333333],[0.025],[1],[0],[0],[0.5021238999997877],[1],['image_2'],0.5312709999998333,0.536295699999755,0.536295699999755,1.5235259000000951,,,,748554,001,2025-07-02_15h19.38.436,untitled,2024.2.4,59.997432109942196,2025-07-02 15h19.41.273097 -0400,
1,0,1,[-0.055],[0.051666666666666666],[1],[0],[0],[0.81858450000027],[1],['image_2'],1,0,1,0,1.5381259999999202,,1.523624099999779,1.5381259999999202,1.5381259999999202,0.015108199999758654,2.3423303999998097,[-0.055],[0.051666666666666666],[1],[0],[0],[0.81858450000027],[1],['image_2'],2.346285699999953,2.3549035000000913,2.3549035000000913,3.341649899999993,3.3549795999997514,3.3549795999997514,,748554,001,2025-07-02_15h19.38.436,untitled,2024.2.4,59.997432109942196,2025-07-02 15h19.41.273097 -0400,
2,0,2,[-0.055],[0.051666666666666666],[1],[0],[0],[0.3821960999998737],[1],['image_2'],2,0,2,0,3.3549795999997514,,3.3417351999996754,3.3549795999997514,3.3549795999997514,-0.0006600000001526496,3.724050399999669,[-0.055],[0.051666666666666666],[1],[0],[0],[0.3821960999998737],[1],['image_2'],3.727784799999881,3.738260999999966,3.738260999999966,4.723585100000037,4.738341899999796,4.738341899999796,,748554,001,2025-07-02_15h19.38.436,untitled,2024.2.4,59.997432109942196,2025-07-02 15h19.41.273097 -0400,
3,0,3,[-0.1],[0.05333333333333334],[1],[0],[0],[0.6192383000002337],[1],['image_2'],3,0,3,0,4.738341899999796,,4.723674200000005,4.738341899999796,4.738341899999796,-0.0004358999999567459,5.343029199999819,[-0.1],[0.05333333333333334],[1],[0],[0],[0.6192383000002337],[1],['image_2'],5.3454790000000685,5.354992499999753,5.354992499999753,6.342126900000039,6.355604200000016,6.355604200000016,,748554,001,2025-07-02_15h19.38.436,untitled,2024.2.4,59.997432109942196,2025-07-02 15h19.41.273097 -0400,
4,0,4,[0.013333333333333334],[-0.041666666666666664],[1],[0],[0],[3.2151896999998826],[1],['image_2'],4,0,4,0,6.355604200000016,,6.342218599999796,6.355604200000016,6.355604200000016,-0.0008723000000827597,9.557531599999948,[0.013333333333333334],[-0.041666666666666664],[1],[0],[0],[3.2151896999998826],[1],['image_2'],9.560091699999703,9.571526899999753,9.571526899999753,10.556935300000077,10.571422699999857,10.571422699999857,7.354961000000003,748554,001,2025-07-02_15h19.38.436,untitled,2024.2.4,59.997432109942196,2025-07-02 15h19.41.273097 -0400,
