thisN,thisTrialN,thisRepN,stimuli,corrAns,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trainingBlock.thisRepN,trainingBlock.thisTrialN,trainingBlock.thisN,trainingBlock.thisIndex,thisRow.t,notes,routine_2.started,text_3.started,routine_2.stopped,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trainingBlock.key_resp.keys,trainingBlock.key_resp.corr,trainingBlock.key_resp.rt,trainingBlock.key_resp.duration,feedback_2.started,fb_2.started,fb_2.stopped,feedback_2.stopped,text_3.stopped,routine.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,choose right,right,right,1,0.5217938999994658,None,0,0,0,0,0,0,0,1,1.0222277000002578,,0.007077500000377768,0.02177320000009786,1.0073123000001942,1.0142806000003475,1.0222277000002578,1.0222277000002578,1.0222277000002578,1.0222277000002578,1.559086300000672,right,1,0.5217938999994658,None,1.5665879000007408,1.5719645000008313,2.572192100000393,2.557525300000634,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
1,1,0,choose left,left,left,1,0.44411010000021633,None,0,0,0,0,0,1,1,0,2.572192100000393,,,,,2.560204500000509,2.572192100000393,2.572192100000393,2.572192100000393,2.572192100000393,3.0241955999999846,left,1,0.44411010000021633,None,3.0275368000002345,3.038643300000331,,4.024278200000481,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
2,0,1,choose right,right,right,1,0.52132950000032,None,0,0,0,0,1,0,2,1,4.038910700000088,,,,,4.026293600000827,4.038910700000088,4.038910700000088,4.038910700000088,4.038910700000088,4.574351800000841,right,1,0.52132950000032,None,4.577942000000803,4.588808800000152,,5.575199600000815,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
0,0,0,choose left,left,left,1,0.5553956000003382,None,1,0,1,0,0,0,0,0,6.5891174000007595,,5.578393700000561,5.588817900000322,6.5743578000001435,6.578320300000087,6.5891174000007595,6.5891174000007595,6.5891174000007595,6.5891174000007595,7.157480900000337,left,1,0.5553956000003382,None,7.160759800000051,7.172366000000693,,8.157875000000786,6.5891174000007595,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
1,0,1,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
0,0,0,choose left,left,right,0,0.08398750000014843,None,2,0,2,0,0,0,0,0,9.17243470000085,,8.159912100000838,8.172050099999979,9.15860850000081,9.16173980000076,9.17243470000085,9.17243470000085,9.17243470000085,9.17243470000085,9.258581800000684,right,0,0.08398750000014843,None,9.263159300000552,9.272436200000811,10.272079700000177,10.257433500000843,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
2,0,2,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
0,0,0,choose right,right,right,1,0.5677168000001984,None,3,0,3,0,0,0,0,1,11.272594800000661,,10.259429100000489,10.272079700000177,11.258560600000237,11.264326200000141,11.272594800000661,11.272594800000661,11.272594800000661,11.272594800000661,11.840813900000285,right,1,0.5677168000001984,None,11.844185000000834,11.855377300000328,12.855354100000113,12.840915800000403,11.272594800000661,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
3,0,3,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
0,0,0,choose right,right,right,1,1.3440841000001456,None,4,0,4,0,0,0,0,1,13.855864300000576,,12.842967100000351,12.855354100000113,13.841861300000346,13.844858100000238,13.855864300000576,13.855864300000576,13.855864300000576,13.855864300000576,15.207639300000665,right,1,1.3440841000001456,None,15.211266900000737,15.222036400000434,,16.20862600000055,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
4,0,4,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180098,001,2025-07-03_13h49.59.182,untitled,2024.2.4,60.04127237046729,2025-07-03 13h50.02.017666 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.209654799999953,16.222389900000053,,,,,,,,
