4.4208 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.4215 	INFO 	Loaded monitor calibration from ['2025_07_02 14:21']
4.6580 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023D5D7EA590>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023D5D7EA5F0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023D5D842380>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.6580 	EXP 	window1: backgroundImage = ''
4.6580 	EXP 	window1: backgroundFit = 'none'
4.6638 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6645 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6652 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6661 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6669 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6674 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6680 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6689 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6692 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6695 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6702 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6709 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6715 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6722 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6728 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6734 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6741 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6745 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6750 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6758 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6762 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6765 	DEBUG 	Uploading Texture Font fontname to graphics card
4.6805 	DEBUG 	Upload of Texture Font fontname complete
4.6863 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6872 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6880 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6883 	DEBUG 	Uploading Texture Font fontname to graphics card
4.6915 	DEBUG 	Upload of Texture Font fontname complete
4.6940 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.6940 	EXP 	window1: recordFrameIntervals = False
4.8662 	EXP 	window1: recordFrameIntervals = True
5.0492 	EXP 	Screen (0) actual frame rate measured at 60.09Hz
