stimuli,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback_2.started,fb_2.started,feedback_2.stopped,fb_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
choose right,right,0,0,0,left,0,0.6099632000000383,None,0,0,0,1,0.25822229999994306,,0.24957809999978053,0.25822229999994306,0.25822229999994306,0.25822229999994306,0.25822229999994306,0.9304628999998386,left,0,0.6099632000000383,None,0.9387907000000268,0.9577334000000519,1.944173200000023,,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose left,left,1,1,0,right,0,0.33323310000014317,None,0,1,1,0,1.959082099999705,,1.9478833999996823,1.959082099999705,1.959082099999705,1.959082099999705,1.959082099999705,2.2945489999997335,right,0,0.33323310000014317,None,2.2947418999997353,2.309051400000044,3.295132199999898,,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose left,left,2,0,1,left,1,0.5103875999998309,None,1,0,2,0,3.3099404999998114,,3.29523029999973,3.3099404999998114,3.3099404999998114,3.3099404999998114,3.3099404999998114,3.8287219999997433,left,1,0.5103875999998309,None,3.8337124999998196,3.842280800000026,4.82904789999975,,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose right,right,3,1,1,left,0,0.4336068999996314,None,1,1,3,1,4.842701699999907,,4.832074499999635,4.842701699999907,4.842701699999907,4.842701699999907,4.842701699999907,5.278075599999738,left,0,0.4336068999996314,None,5.281950599999618,5.292294699999729,6.278718000000026,,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose left,left,4,0,2,right,0,0.13550880000002508,None,2,0,4,0,6.292704599999979,,6.281555600000047,6.292704599999979,6.292704599999979,6.292704599999979,6.292704599999979,6.444744699999774,right,0,0.13550880000002508,None,6.446406399999887,6.458956699999817,7.444464299999709,7.45923270000003,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose right,right,5,1,2,right,1,3.249214100000245,None,2,1,5,1,7.45923270000003,,7.446298299999853,7.45923270000003,7.45923270000003,7.45923270000003,7.45923270000003,10.711598899999899,right,1,3.249214100000245,None,10.71351949999962,10.725726399999985,11.711155499999677,11.725851700000021,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose right,right,6,0,3,left,0,0.5663156000000527,None,3,0,6,1,11.725851700000021,,11.711248000000069,11.725851700000021,11.725851700000021,11.725851700000021,11.725851700000021,12.295754999999644,left,0,0.5663156000000527,None,12.304100999999719,12.309255699999994,13.294477099999767,13.309284699999807,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose left,left,7,1,3,right,0,0.07046500000024025,None,3,1,7,0,13.309284699999807,,13.296301999999741,13.309284699999807,13.309284699999807,13.309284699999807,13.309284699999807,13.394658799999888,right,0,0.07046500000024025,None,13.396713799999816,13.40896389999989,14.395732099999805,,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose right,right,8,0,4,right,1,0.386692199999743,None,4,0,8,1,14.409672299999784,,14.399006799999825,14.409672299999784,14.409672299999784,14.409672299999784,14.409672299999784,14.812494699999661,right,1,0.386692199999743,None,14.815442699999949,14.825893199999882,15.811071799999809,15.826132199999847,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
choose left,left,9,1,4,left,1,0.3942512999997234,None,4,1,9,0,15.826132199999847,,15.812897699999667,15.826132199999847,15.826132199999847,15.826132199999847,15.826132199999847,16.227885299999798,left,1,0.3942512999997234,None,16.22956979999981,16.242427199999838,17.22788509999964,17.24262409999983,769488,001,2025-07-03_13h22.19.096,untitled,2024.2.4,60.125023974809615,2025-07-03 13h22.22.640035 -0400,
