thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,image.started,image_2.started,mouse.started,text.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.corr,trials.mouse.clicked_name,routine_1.started,rt_fb2.started,rt_fb2.stopped,routine_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,"[-0.435, 0.5116666666666667]","[0.05333333333333334, 0.05333333333333334]","[1, 1]","[0, 0]","[0, 0]","[0.6659869999998591, 1.7499440999999933]",[1],"[None, 'image_2']",0,0,0,0,0.01722509999990507,,0.0045691999998780375,0.01722509999990507,0.01722509999990507,0.01722509999990507,0.0045884000001024106,1.017802599999868,1.7546674000000166,"[-0.435, 0.5116666666666667]","[0.05333333333333334, 0.05333333333333334]","[1, 1]","[0, 0]","[0, 0]","[0.6659869999998591, 1.7499440999999933]",[1],"[None, 'image_2']",1.7610998999998628,1.7677745999999388,2.7679332999996404,2.7532352999996874,884701,001,2025-07-02_15h23.50.126,untitled,2024.2.4,59.98562744366532,2025-07-02 15h23.52.276502 -0400,
1,0,1,"[-0.5483333333333333, -0.175, 0.38]","[0.12, 0.06166666666666667, 0.041666666666666664]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.7507456000003003, 1.1172174000002997, 1.7509555000001455]",[1],"[None, None, 'image_2']",1,0,1,0,2.7679332999996404,,2.7533324999999422,2.7679332999996404,2.7679332999996404,2.7679332999996404,0.01522640000030151,3.7680019999997967,4.5210486999999375,"[-0.5483333333333333, -0.175, 0.38]","[0.12, 0.06166666666666667, 0.041666666666666664]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.7507456000003003, 1.1172174000002997, 1.7509555000001455]",[1],"[None, None, 'image_2']",4.52326099999982,4.534588900000017,5.534639599999991,5.519910499999696,884701,001,2025-07-02_15h23.50.126,untitled,2024.2.4,59.98562744366532,2025-07-02 15h23.52.276502 -0400,
2,0,2,"[-0.3566666666666667, 0.37833333333333335]","[0.05, 0.05]","[1, 1]","[0, 0]","[0, 0]","[0.23400080000010348, 0.6030353999999534]",[1],"[None, 'image_2']",2,0,2,0,5.534639599999991,,5.519999699999971,5.534639599999991,5.534639599999991,5.534639599999991,0.015565400000014051,,6.139854099999866,"[-0.3566666666666667, 0.37833333333333335]","[0.05, 0.05]","[1, 1]","[0, 0]","[0, 0]","[0.23400080000010348, 0.6030353999999534]",[1],"[None, 'image_2']",6.143193699999756,6.151501199999984,7.151336699999774,7.136561799999981,884701,001,2025-07-02_15h23.50.126,untitled,2024.2.4,59.98562744366532,2025-07-02 15h23.52.276502 -0400,
3,0,3,,,,,,,,,3,0,3,0,7.151336699999774,,7.136656099999982,7.151336699999774,7.151336699999774,7.151336699999774,0.013638399999763351,8.15169829999968,10.587619699999777,[0.35333333333333333],[0.235],[1],[0],[0],[3.433939399999872],[1],['image_2'],10.590564099999938,10.60110880000002,,,,,,,,,,
