thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,image_2.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.corr,trials.mouse.clicked_name,routine_1.started,rt_fb2.started,rt_fb2.stopped,routine_1.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.03666666666666667],[0.03],[1],[0],[0],[0.41795140000022],[1],['image_2'],0,0,0,0,0.0197425999999723,,0.0046345000000656,0.0197425999999723,0.0197425999999723,0.004653400000279362,0.42271519999985685,[-0.03666666666666667],[0.03],[1],[0],[0],[0.41795140000022],[1],['image_2'],0.4321138999998766,0.4362453999997342,1.436791699999958,1.4220061999999416,,429923,001,2025-07-02_15h21.14.393,untitled,2024.2.4,60.028117170057875,2025-07-02 15h21.16.390432 -0400,
1,0,1,[-0.12166666666666667],[0.008333333333333333],[1],[0],[0],[0.45061549999991257],[1],['image_2'],1,0,1,0,1.436791699999958,,1.4221006999996462,1.436791699999958,1.436791699999958,-0.0006836000002294895,1.8728397999998379,[-0.12166666666666667],[0.008333333333333333],[1],[0],[0],[0.45061549999991257],[1],['image_2'],1.8759396999998899,1.8865102999998271,2.8865720999997393,2.8719716999999036,,429923,001,2025-07-02_15h21.14.393,untitled,2024.2.4,60.028117170057875,2025-07-02 15h21.16.390432 -0400,
2,0,2,[-0.03333333333333333],[0.035],[1],[0],[0],[1.034133600000132],[1],['image_2'],2,0,2,0,2.8865720999997393,,2.8720579000000726,2.8865720999997393,2.8865720999997393,-0.0008428000001003966,3.9063145999998596,[-0.03333333333333333],[0.035],[1],[0],[0],[1.034133600000132],[1],['image_2'],3.909497999999985,3.9197998999998163,4.919933199999832,4.90636829999994,3.8866362999997364,429923,001,2025-07-02_15h21.14.393,untitled,2024.2.4,60.028117170057875,2025-07-02 15h21.16.390432 -0400,
3,0,3,[0.07166666666666667],[0.015],[1],[0],[0],[0.8164529000000584],[1],['image_2'],3,0,3,0,4.919933199999832,,4.906457000000046,4.919933199999832,4.919933199999832,7.760000016787671e-05,5.723031199999696,[0.07166666666666667],[0.015],[1],[0],[0],[0.8164529000000584],[1],['image_2'],5.72619369999984,5.736549799999921,6.736633900000015,6.721932499999639,,429923,001,2025-07-02_15h21.14.393,untitled,2024.2.4,60.028117170057875,2025-07-02 15h21.16.390432 -0400,
4,0,4,[0.016666666666666666],[-0.006666666666666667],[1],[0],[0],[0.5174026999998205],[1],['image_2'],4,0,4,0,6.736633900000015,,6.722027399999661,6.736633900000015,6.736633900000015,0.015603099999680126,7.256200599999829,[0.016666666666666666],[-0.006666666666666667],[1],[0],[0],[0.5174026999998205],[1],['image_2'],7.259135699999661,7.270429299999705,8.26983969999992,8.255280599999878,,429923,001,2025-07-02_15h21.14.393,untitled,2024.2.4,60.028117170057875,2025-07-02 15h21.16.390432 -0400,
